"id","outline_name","investigator_id","site_id","Site","country","long","lat","Period","length","width","thickness","weight","reference"
"12-1088","01_d_oldeholtwolde",1,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",36.2,11.9,,1.29,
"12-5596; 12-5528","02_d_oldeholtwolde",2,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",61.2,24.8,,10.78,
12.2577,"03_d_oldeholtwolde",3,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",32.4,9.8,,1.05,
12.1885,"04_d_oldeholtwolde",4,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",39.1,8.7,,0.62,
1252,"05_d_oldeholtwolde",5,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",57.4,14.9,,3.81,
"12_5232","06_d_oldeholtwolde",6,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",39.4,14.7,,1.62,
"12.6.63","07_d_oldeholtwolde",7,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",20.5,5.7,,0.11,
"12_3504","08_d_oldeholtwolde",8,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",65.2,19.1,,5.51,
"12_615","09_d_oldeholtwolde",9,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",30.5,13.7,,0.88,
12.5434,"10_d_oldeholtwolde",10,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",26.5,9.7,,0.69,
"12_1544","11_d_oldeholtwolde",11,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",36.3,9.3,,0.84,
"12_4978","12_d_oldeholtwolde",12,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",44.6,16.9,,3.48,
"12_5989","13_d_oldeholtwolde",13,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",31.5,9.3,,1.2,
"12_658","14_d_oldeholtwolde",14,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",30.7,11.4,,0.93,
"12.5.19","15_d_oldeholtwolde",15,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",34.6,9,,0.67,
"12_2382","16_d_oldeholtwolde",16,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",20.3,6.7,,0.42,
"12_5050","17_d_oldeholtwolde",17,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",37.2,14.7,,1.26,
"12_3572","18_d_oldeholtwolde",18,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",33.3,7.2,,0.81,
"12.4970, 12.4930","19_d_oldeholtwolde",19,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",39.6,11.6,,1.31,
"12:6:134, 12_3705","20_d_oldeholtwolde",20,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",37.8,7.3,,0.44,
"12_400","21_d_oldeholtwolde",21,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",77.1,24,,10.64,
"12_1394, 12_950","22_d_oldeholtwolde",22,"oldeholtwolde","Oldeholtwolde","NL","6.01",52.91,"Bølling/GI-1e ",43.2,7.3,,0.65,
"GL 2062 15/16 nv","01_d_hoejgaard",1,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",72.9,28.1,,11.93,
"FR 2062 13/13 sv","02_d_hoejgaard",2,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",80.9,35.3,,36.55,
"PO 2062 H12/15 sv","03_d_hoejgaard",3,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",87.5,31.8,,33.1,
"PJ 2062 12/15 nv (41)","04_d_hoejgaard",4,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",84.8,33.7,,21.86,
"ZZ 13/16 sø","05_d_hoejgaard",5,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",69.2,23.1,,11.43,
"DS 2062 13/14 sv","06_d_hoejgaard",6,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",72.6,15.8,,4.49,
"NQ 2062 12/15 nv (97 lodret)","07_d_hoejgaard",7,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",52.8,17.5,,5.23,
"CX 2062 13/15 sv","08_d_hoejgaard",8,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",48.5,20.9,,3.74,
"MY 2062 15/15 nø","09_d_hoejgaard",9,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",45.1,13.3,,2.22,
"QL 2062 12/12 nø","10_d_hoejgaard",10,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",36.2,15.5,,2.44,
"UL 2062 H 15/13 NV","11_d_hoejgaard",11,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",62.5,18.3,,6.56,
"LR 2062 12/15 NØ, 87 lodret","12_d_hoejgaard",12,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",72.4,26.8,,15.53,
"RU 2062 H 13/16 SV","13_d_hoejgaard",13,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",76.1,26.3,,17.06,
"OG 2062 H11/14 NØ, 89 lodret","14_d_hoejgaard",14,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",65.5,20.4,,11.14,
"ZV 13/16 SØ","15_d_hoejgaard",15,"hoejgaard","Højgård","DK",11.65,55.56,"Allerød/GI-1a-c ",59.8,19.7,,10.69,
