count;id;investigator;investigator_id;code;site;country;classification;long;lat;negatives;cortex;ba_1_1;ba_1_2;ba_1_3;ba_1_4;ba_2_1;ba_2_2;ba_2_3;ba_3_1;ba_3_2;ba_3_3;ba_3_4;ba_4_1;ba_4_2;ba_4_3;ba_5_1;ba_5_2;ba_5_3;ba_6_1;ba_6_2;ba_6_3;ba_6_4;ba_6_5;ba_6_6;ba_7_1;ba_7_2;ba_7_3;ba_7_4;ba_7_5;ba_8_1;ba_9_1;ba_9_2;ba_9_3;ba_10_1;ba_10_2;ba_10_3;ba_10_4;ba_10_5;ba_10_6;ba_10_7;ba_11_1;ba_11_2;ba_11_3;ba_11_4;ba_11_5;ba_12_1;ba_12_2;ba_12_3;ba_12_4;ba_12_5;ba_12_6;ba_12_7;ba_13_1;ba_13_2;ba_14_1;ba_14_2;ba_14_3;ba_15_1;length;width;prox.thick;mes.thick;dist.thick;butt.thick;butt.width;weight
34;73S2;"MVM; JBP";34;;Hoejgaard;DK;Bromme;;;4;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;79;34.4;11.4;11.4;3.2;4.7;13.8;35.18
35;16S153;"MVM; JBP";35;;Hoejgaard;DK;Bromme;;;4;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;48;18.8;5.1;4.2;1.4;2.5;6;4.75
36;107S21;"MVM; JBP";36;;Hoejgaard;DK;Bromme;;;4;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;54.8;17.3;7;5;2.3;4.4;12.2;5.28
37;108S16;"MVM; JBP";37;;Hoejgaard;DK;Bromme;;;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;69.1;20.3;6.7;4.8;1.1;3;8.5;6.27
38;7S37;"MVM; JBP";38;;Hoejgaard;DK;Bromme;;;3;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;46.6;16.8;5.2;3.6;2.4;4.8;11.5;3.78
1;12-1088;"MVM; JBP";1;;Oldeholtwolde;NL;Hamburgian;;;2;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;36.2;11.9;2.8;2.5;1.8;1.7;4.3;1.29
2;"12-5596; 12-5528";"MVM; JBP";2;;Oldeholtwolde;NL;Hamburgian;;;5;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;61.2;24.8;6.5;8.4;3.8;4.4;11.6;10.78
3;12.2577;"MVM; JBP";3;;Oldeholtwolde;NL;Hamburgian;;;3;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;32.4;9.8;3.2;2.8;1.8;2.9;7.9;1.05
4;12.1885;"MVM; JBP";4;;Oldeholtwolde;NL;Hamburgian;;;4;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;39.1;8.7;2.2;1.8;1.3;0.4;0.4;0.62
5;1252;"MVM; JBP";5;;Oldeholtwolde;NL;Hamburgian;;;4;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;57.4;14.9;3.2;3.9;2.7;1.4;2.1;3.81
6;12_5232;"MVM; JBP";6;;Oldeholtwolde;NL;Hamburgian;;;3;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;39.4;14.7;3.7;2.9;1.8;1.8;7;1.62
7;12.06.63;"MVM; JBP";7;;Oldeholtwolde;NL;Hamburgian;;;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;20.5;5.7;1.5;1.2;0.7;1;2.4;0.11
8;12_3504;"MVM; JBP";8;;Oldeholtwolde;NL;Hamburgian;;;3;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;65.2;19.1;5.1;5.2;3.9;3.6;1.2;5.51
9;12_615;"MVM; JBP";9;;Oldeholtwolde;NL;Hamburgian;;;6;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;30.5;13.7;1.9;2;1.4;1.5;3.7;0.88
10;12.5434;"MVM; JBP";10;;Oldeholtwolde;NL;Hamburgian;;;4;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;26.5;9.7;2;2.1;1.4;1.2;2.5;0.69
11;12_1544;"MVM; JBP";11;;Oldeholtwolde;NL;Hamburgian;;;3;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;36.3;9.3;2.2;2.4;1.4;;;0.84
12;12_4978;"MVM; JBP";12;;Oldeholtwolde;NL;Hamburgian;;;3;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;44.6;16.9;4.1;4.3;2.9;1.5;4.7;3.48
13;12_5989;"MVM; JBP";13;;Oldeholtwolde;NL;Hamburgian;;;5;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;31.5;9.3;3.1;3.8;2.2;1.1;3.6;1.2
